DATE_TIME,current_contract,next_contract,carry_contract
2021-11-15 23:00:00,20211100,20211200,20211200
2021-12-13 23:00:00,20211200,20220100,20220100
2022-01-10 23:00:00,20220100,20220200,20220200
2022-02-14 23:00:00,20220200,20220300,20220300
2022-03-14 23:00:00,20220300,20220400,20220400
2022-04-11 23:00:00,20220400,20220500,20220500
2022-05-16 23:00:00,20220500,20220600,20220600
2022-06-13 23:00:00,20220600,20220700,20220700
2022-07-11 23:00:00,20220700,20220800,20220800
2022-08-15 23:00:00,20220800,20220900,20220900
2022-09-14 23:00:00,20220900,20221000,20221000
2022-10-10 23:00:00,20221000,20221100,20221100
2022-11-28 07:00:01,20221100,20221200,20221200
2022-12-28 05:00:01,20221200,20230100,20230100
2023-01-23 04:00:02,20230100,20230200,20230200
2023-02-09 04:00:02,20230200,20230300,20230300
2023-03-24 07:00:02,20230300,20230400,20230400
2023-04-27 05:00:02,20230400,20230500,20230500
2023-05-05 04:00:02,20230500,20230600,20230600
2023-06-21 04:00:02,20230600,20230700,20230700
2023-07-10 08:00:02,20230700,20230800,20230800
2023-08-25 04:00:02,20230800,20230900,20230900
2023-09-26 04:00:02,20230900,20231000,20231000
2023-10-20 05:00:02,20231000,20231100,20231100
2023-11-10 04:00:02,20231100,20231200,20231200
2023-12-29 02:00:01,20231200,20240100,20240100
2024-01-24 05:00:01,20240100,20240200,20240200
2024-03-04 05:00:01,20240200,20240300,20240300
2024-03-26 03:00:01,20240300,20240400,20240400
2024-03-28 23:00:00,20240400,20240500,20240500
