DATE_TIME,current_contract,next_contract,carry_contract
2016-03-03 23:00:00,20160300,20160600,20160600
2016-06-03 23:00:00,20160600,20160900,20160900
2016-09-05 23:00:00,20160900,20161200,20161200
2016-12-05 23:00:00,20161200,20170300,20170300
2017-03-03 23:00:00,20170300,20170600,20170600
2017-06-05 23:00:00,20170600,20170900,20170900
2017-09-05 23:00:00,20170900,20171200,20171200
2017-12-04 23:00:00,20171200,20180300,20180300
2018-03-05 23:00:00,20180300,20180600,20180600
2018-06-05 23:00:00,20180600,20180900,20180900
2018-09-04 23:00:00,20180900,20181200,20181200
2018-12-04 23:00:00,20181200,20190300,20190300
2019-03-05 23:00:00,20190300,20190600,20190600
2019-06-04 23:00:00,20190600,20190900,20190900
2019-09-03 23:00:00,20190900,20191200,20191200
2019-12-03 23:00:00,20191200,20200300,20200300
2020-03-04 23:00:00,20200300,20200600,20200600
2020-06-03 23:00:00,20200600,20200900,20200900
2020-09-03 23:00:00,20200900,20201200,20201200
2020-12-03 23:00:00,20201200,20210300,20210300
2021-03-03 23:00:00,20210300,20210600,20210600
2021-06-03 23:00:00,20210600,20210900,20210900
2021-08-30 18:00:02,20210900,20211200,20211200
2021-12-02 17:00:01,20211200,20220300,20220300
2022-03-01 17:00:01,20220300,20220600,20220600
2022-06-01 17:00:01,20220600,20220900,20220900
2022-08-29 16:00:01,20220900,20221200,20221200
2022-11-23 18:00:02,20221200,20230300,20230300
2023-03-02 16:00:01,20230300,20230600,20230600
2023-05-26 16:00:02,20230600,20230900,20230900
2023-09-01 16:00:01,20230900,20231200,20231200
2023-11-29 16:00:01,20231200,20240300,20240300
2024-03-04 16:00:01,20240300,20240600,20240600
2024-07-08 09:00:00,20240600,20240900,20240900
