DATE_TIME,current_contract,next_contract,carry_contract
2019-12-17 16:00:00,20200200,20200300,20200300
2020-01-28 15:00:00,20200300,20200400,20200400
2020-03-03 14:00:00,20200400,20200500,20200500
2020-03-31 14:00:00,20200500,20200600,20200600
2020-04-29 14:00:00,20200600,20200700,20200700
2020-06-08 14:00:00,20200700,20200800,20200800
2020-07-06 08:00:00,20200800,20200900,20200900
2020-07-31 15:00:00,20200900,20201000,20201000
2020-09-01 13:00:00,20201000,20201100,20201100
2020-10-01 13:00:00,20201100,20201200,20201200
2020-10-29 16:00:00,20201200,20210100,20210100
2020-12-01 16:00:00,20210100,20210200,20210200
2021-01-05 13:00:00,20210200,20210300,20210300
2021-02-01 08:00:00,20210300,20210400,20210400
2021-03-01 15:00:00,20210400,20210500,20210500
2021-04-01 12:00:00,20210500,20210600,20210600
2021-04-29 07:00:00,20210600,20210700,20210700
2021-06-01 16:00:00,20210700,20210800,20210800
2021-06-30 14:00:00,20210800,20210900,20210900
2021-07-30 14:00:00,20210900,20211000,20211000
2021-08-31 14:00:00,20211000,20211100,20211100
2021-09-30 13:00:00,20211100,20211200,20211200
2021-11-01 16:00:00,20211200,20220100,20220100
2021-11-08 23:00:00,20220100,20220200,20220200
2022-01-11 17:00:02,20220200,20220300,20220300
2022-01-26 17:00:01,20220300,20220400,20220400
2022-02-23 17:00:01,20220400,20220500,20220500
2022-03-10 18:00:01,20220500,20220600,20220600
2022-04-27 17:00:01,20220600,20220700,20220700
2022-05-23 17:00:01,20220700,20220800,20220800
2022-06-29 17:00:02,20220800,20220900,20220900
2022-07-18 17:00:01,20220900,20221000,20221000
2022-08-30 16:00:02,20221000,20221100,20221100
2022-09-30 17:00:02,20221100,20221200,20221200
2022-11-07 17:00:02,20221200,20230100,20230100
2022-11-23 17:00:02,20230100,20230200,20230200
2022-12-12 15:00:02,20230200,20230300,20230300
2023-01-20 23:00:01,20230300,20230400,20230400
2023-02-17 23:00:01,20230400,20230500,20230500
2023-03-30 17:00:02,20230500,20230600,20230600
2023-04-27 17:00:02,20230600,20230700,20230700
2023-05-19 18:00:02,20230700,20230800,20230800
2023-06-28 18:00:02,20230800,20230900,20230900
2023-07-18 18:00:01,20230900,20231000,20231000
2023-08-22 18:00:02,20231000,20231100,20231100
2023-09-22 18:00:02,20231100,20231200,20231200
2023-10-20 17:00:01,20231200,20240100,20240100
2023-11-27 18:00:01,20240100,20240200,20240200
2023-12-12 18:00:01,20240200,20240300,20240300
2024-01-19 18:00:01,20240300,20240400,20240400
2024-02-23 18:00:01,20240400,20240500,20240500
2024-03-26 18:00:01,20240500,20240600,20240600
2024-07-05 23:00:00,20240600,20240700,20240700
