DATE_TIME,current_contract,next_contract,carry_contract
2021-06-14 23:00:00,20210600,20210900,20210900
2021-09-13 23:00:00,20210900,20211200,20211200
2021-12-10 17:00:02,20211200,20220300,20220300
2022-03-15 18:00:01,20220300,20220600,20220600
2022-06-10 18:00:01,20220600,20220900,20220900
2022-09-09 16:00:02,20220900,20221200,20221200
2022-12-12 16:00:01,20221200,20230300,20230300
2023-03-08 15:00:02,20230300,20230600,20230600
2023-06-09 15:00:02,20230600,20230900,20230900
2023-09-12 16:00:01,20230900,20231200,20231200
2023-12-08 15:00:01,20231200,20240300,20240300
2024-03-14 15:00:01,20240300,20240600,20240600
2024-06-10 23:00:00,20240600,20240900,20240900
2024-09-10 23:00:00,20240900,20241200,20241200
