DATE_TIME,current_contract,next_contract,carry_contract
2018-06-11 16:00:00,20180600,20180900,20180900
2018-09-12 09:00:00,20180900,20181200,20181200
2018-12-17 15:00:00,20181200,20190300,20190300
2019-03-12 13:00:00,20190300,20190600,20190600
2019-06-24 08:00:00,20190600,20190900,20190900
2019-09-10 12:00:00,20190900,20191200,20191200
2019-12-16 15:00:00,20191200,20200300,20200300
2020-03-17 10:00:00,20200300,20200600,20200600
2020-06-15 08:00:00,20200600,20200900,20200900
2020-09-14 12:00:00,20200900,20201200,20201200
2020-12-11 12:00:00,20201200,20210300,20210300
2021-03-11 11:00:00,20210300,20210600,20210600
2021-06-10 17:00:02,20210600,20210900,20210900
2021-09-13 16:00:01,20210900,20211200,20211200
2021-12-14 17:00:01,20211200,20220300,20220300
2022-03-14 18:00:01,20220300,20220600,20220600
2022-06-10 17:00:02,20220600,20220900,20220900
2022-09-09 16:00:02,20220900,20221200,20221200
2022-12-12 16:00:01,20221200,20230300,20230300
2023-03-08 16:00:02,20230300,20230600,20230600
2023-06-09 16:00:02,20230600,20230900,20230900
2023-09-12 16:00:01,20230900,20231200,20231200
2023-12-12 16:00:01,20231200,20240300,20240300
2024-03-14 15:00:01,20240300,20240600,20240600
2024-07-08 09:00:00,20240600,20240900,20240900
