DATE_TIME,current_contract,next_contract,carry_contract
2022-08-31 23:00:00,20220900,20221000,20221000
2022-09-30 23:00:00,20221000,20221100,20221100
2022-11-01 23:00:00,20221100,20221200,20221200
2022-11-30 23:00:00,20221200,20230100,20230100
2023-01-03 23:00:00,20230100,20230200,20230200
2023-01-31 23:00:00,20230200,20230300,20230300
2023-02-28 23:00:00,20230300,20230400,20230400
2023-03-31 23:00:00,20230400,20230500,20230500
2023-05-01 23:00:00,20230500,20230600,20230600
2023-05-31 23:00:00,20230600,20230700,20230700
2023-06-30 23:00:00,20230700,20230800,20230800
2023-08-11 23:00:02,20230800,20230900,20230900
2023-09-06 17:00:02,20230900,20231000,20231000
2023-09-28 23:00:01,20231000,20231100,20231100
2023-10-20 18:00:02,20231100,20231200,20231200
2023-11-29 18:00:01,20231200,20240100,20240100
2023-12-28 23:00:01,20240100,20240200,20240200
2024-01-05 23:00:01,20240200,20240300,20240300
2024-03-04 14:00:01,20240300,20240400,20240400
2024-03-28 23:00:00,20240400,20240500,20240500
